,id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
353110,84KMUSi2/,84KMUSi2102,102,95,"Goal!        Goal!  Chelsea 2, West Bromwich Albion 2. Eden Hazard (Chelsea) converts the penalty with a right footed shot to the bottom right corner.",1,,1,Chelsea,West Brom,eden hazard,,,,4.0,1.0,1,14.0,1.0,0,2.0,0
353523,dQ0HjAEL/,dQ0HjAEL45,45,55,"Goal!  Norwich City 1, West Ham United 1. Gary Hooper (Norwich City) converts the penalty with a right footed shot to the high centre of the goal.",1,,1,Norwich City,West Ham,gary hooper,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
353870,fqBp5ivL/,fqBp5ivL91,91,90,"Goal!  FC Bayern Munchen 3, FC Augsburg 0. Thomas Muller (FC Bayern Munchen) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Bayern Munich,FC Augsburg,thomas muller,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
354006,jm0LkUTR/,jm0LkUTR22,22,29,"Goal!        Goal!  Southampton 2, Hull City 0. Rickie Lambert (Southampton) converts the penalty with a right footed shot to the top left corner.",1,,1,Southampton,Hull,rickie lambert,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
354428,pz9XaRcF/,pz9XaRcF47,47,30,"Goal!  Catania 1, Udinese 0. Maxi LA³pez (Catania) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Catania,Udinese,maxi lopez,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
354670,r9qYem17/,r9qYem1773,73,53,"Goal!  1899 Hoffenheim 0, Hertha Berlin 2. Adrian Ramos (Hertha Berlin) converts the penalty with a right footed shot to the top left corner.",1,,2,Hertha Berlin,TSG Hoffenheim,adrian ramos,,,,12.0,1.0,1,14.0,1.0,0,2.0,0
354689,r9qYem17/,r9qYem1792,92,70,"Goal!  1899 Hoffenheim 1, Hertha Berlin 2. Sejad Salihovic (1899 Hoffenheim) converts the penalty with a left footed shot to the bottom right corner.",1,,1,TSG Hoffenheim,Hertha Berlin,sejad salihovic,,,,4.0,1.0,1,14.0,2.0,0,2.0,0
354786,rBAUOxqc/,rBAUOxqc66,66,57,"Goal!  Paris Saint Germain 2, Nice 0. Zlatan Ibrahimovic (Paris Saint Germain) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Paris Saint-Germain,Nice,zlatan ibrahimovic,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
354859,vTWs5Zh1/,vTWs5Zh128,28,26,"Goal!  Real Madrid 3, Real Sociedad 0. Cristiano Ronaldo (Real Madrid) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Real Madrid,Real Sociedad,cristiano ronaldo,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
355260,2Bed8OX1/,2Bed8OX1102,102,95,"Goal!        Goal!  Swansea City 3, Stoke City 3. Charlie Adam (Stoke City) converts the penalty with a left footed shot to the bottom left corner.",1,,2,Stoke City,Swansea,charlie adam,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
355265,46OTSxo8/,46OTSxo85,5,5,Penalty missed! Bad penalty by Ever Banega (Valencia CF) right footed shot is just a bit too high. Ever Banega should be disappointed.,1,,1,Valencia,Real Valladolid,ever banega,,,,1.0,2.0,0,14.0,1.0,0,2.0,0
356735,lvvV7y9r/,lvvV7y9r109,109,90,"Goal!  Real Betis 1, Barcelona 4. Jorge Molina (Real Betis) converts the penalty with a right footed shot to the bottom left corner.",1,,1,Real Betis,Barcelona,jorge molina,,,,3.0,1.0,1,14.0,1.0,0,2.0,0
357016,vyR5sJsl/,vyR5sJsl12,12,11,"Goal!  Fiorentina 1, Sampdoria 0. Giuseppe Rossi (Fiorentina) converts the penalty with a left footed shot to the bottom left corner.",1,,1,Fiorentina,Sampdoria,giuseppe rossi,,,,3.0,1.0,1,14.0,2.0,0,2.0,0
357182,WM3q1Zjj/,WM3q1Zjj83,83,83,"Goal!  Marseille 2, Sochaux 1. AndrA©-Pierre Gignac (Marseille) converts the penalty with a right footed shot to the centre of the goal.",1,,1,Marseille,Sochaux,andrepierre gignac,,,,5.0,1.0,1,14.0,1.0,0,2.0,0
