time,number,latitude,longitude,u10,v10,t2m,d2m,tp
2023-04-02 00:00:00,35,50.75,4.25,-0.6226177,-5.4359126,280.88525,280.069,8.0042305
2023-04-02 00:00:00,36,50.75,4.25,0.90990937,-4.9460325,280.6261,279.60303,4.9767056
2023-04-02 00:00:00,37,50.75,4.25,0.19856489,-5.28759,280.44354,279.42593,4.475457
2023-04-02 00:00:00,38,50.75,4.25,1.4015776,-4.6892314,281.4043,280.5401,4.719105
2023-04-02 00:00:00,39,50.75,4.25,2.2559843,-4.004044,280.894,280.2538,5.0593524
2023-04-02 00:00:00,40,50.75,4.25,-1.398179,-5.605655,279.68234,278.7651,11.601698
2023-04-02 00:00:00,41,50.75,4.25,1.1231391,-4.8983574,280.53168,279.78842,8.0028
2023-04-02 00:00:00,42,50.75,4.25,-0.71559584,-5.941915,280.84567,280.12744,9.234275
2023-04-02 00:00:00,43,50.75,4.25,-0.9362638,-5.7477593,280.76807,279.54828,6.798516
2023-04-02 00:00:00,44,50.75,4.25,0.61585057,-6.115112,280.0667,279.12762,7.4156847
2023-04-02 00:00:00,45,50.75,4.25,-0.2752515,-5.0927434,280.70847,280.14035,7.007101
2023-04-02 00:00:00,46,50.75,4.25,-0.20260465,-5.7141333,280.76105,280.07986,7.8521748
2023-04-02 00:00:00,47,50.75,4.25,-0.9856043,-5.0181212,280.9288,280.11713,8.74376
2023-04-02 00:00:00,48,50.75,4.25,2.3355737,-5.480133,280.00986,279.16315,8.306196
2023-04-02 00:00:00,49,50.75,4.25,-1.1894124,-5.396759,280.90576,279.74115,5.7105103
2023-04-02 00:00:00,50,50.75,4.25,0.7737894,-5.132818,280.11002,279.11786,7.241446
2023-04-02 06:00:00,1,50.75,4.25,-2.6701195,-5.7560506,277.91434,276.24902,9.086155
2023-04-02 06:00:00,2,50.75,4.25,-1.6473606,-5.802574,278.09012,276.75827,9.276851
2023-04-02 06:00:00,3,50.75,4.25,-2.112747,-6.3120313,278.4036,276.6233,10.594908
2023-04-02 06:00:00,4,50.75,4.25,-0.8812208,-5.154928,278.7096,277.61624,8.748411
2023-04-02 06:00:00,5,50.75,4.25,-1.0215559,-4.8543673,278.6958,277.37296,4.2915587
2023-04-02 06:00:00,6,50.75,4.25,-1.712817,-5.453417,278.3395,277.18982,6.928747
2023-04-02 06:00:00,7,50.75,4.25,-1.5811601,-5.542088,277.693,276.29086,9.903321
2023-04-02 06:00:00,8,50.75,4.25,-1.802324,-5.7157454,277.54352,275.55524,7.929097
2023-04-02 06:00:00,9,50.75,4.25,-3.0561645,-6.1441317,277.23727,274.72507,5.250764
2023-04-02 06:00:00,10,50.75,4.25,-1.632236,-6.104287,278.5511,277.16403,7.259335
2023-04-02 06:00:00,11,50.75,4.25,-2.2362218,-5.2604127,278.06107,275.88193,7.05397
2023-04-02 06:00:00,12,50.75,4.25,-1.4318993,-4.80508,278.11865,276.03354,7.74341
2023-04-02 06:00:00,13,50.75,4.25,-1.5635562,-5.3992925,278.04303,276.2754,6.644671
2023-04-02 06:00:00,14,50.75,4.25,-1.6892626,-7.2077265,278.0663,275.57675,6.8332205
2023-04-02 06:00:00,15,50.75,4.25,-0.7170836,-5.385704,278.74765,277.9862,7.3480644
2023-04-02 06:00:00,16,50.75,4.25,-0.8956015,-5.140879,278.7454,277.92316,9.153774
2023-04-02 06:00:00,17,50.75,4.25,-1.3656988,-5.33895,278.06882,276.8193,8.315857
2023-04-02 06:00:00,18,50.75,4.25,-1.280159,-5.5556765,277.94388,276.26678,5.9720464
2023-04-02 06:00:00,19,50.75,4.25,-2.5374708,-5.525736,277.56656,275.73264,9.746614
2023-04-02 06:00:00,20,50.75,4.25,-2.2287836,-5.19293,278.3853,277.05914,6.548786
2023-04-02 06:00:00,21,50.75,4.25,-0.85940194,-4.9545546,278.46094,277.63287,9.311197
2023-04-02 06:00:00,22,50.75,4.25,-1.5920694,-5.0897493,278.93994,277.481,7.0918946
2023-04-02 06:00:00,23,50.75,4.25,0.06938732,-5.3926134,278.4767,277.6148,6.550933
2023-04-02 06:00:00,24,50.75,4.25,-1.1073437,-5.829291,278.15097,277.0156,10.446073
